,Testers,Accuracy,TP,TN,FP,FN,ERR,FRR,FAR,EER,Sensitivity(TPR),TAR,Specificity(TNR),F-score,k values,Iterations
0,1_User,0.47166666666666673,31.666666666666668,62.666666666666664,37.333333333333336,68.33333333333333,0.5283333333333333,0.6833333333333332,0.37333333333333335,0.0,0.31666666666666665,0.31666666666666676,0.6266666666666666,0.3747534516765286,18.0,30.0
1,2_User,0.885,93.66666666666667,83.33333333333333,16.666666666666668,6.333333333333333,0.115,0.06333333333333332,0.16666666666666669,0.0,0.9366666666666668,0.9366666666666666,0.8333333333333333,0.8906497622820919,18.0,30.0
2,3_User,0.8016666666666665,79.33333333333333,81.0,19.0,20.666666666666668,0.19833333333333336,0.20666666666666667,0.19,0.0,0.7933333333333333,0.7933333333333333,0.81,0.8,18.0,30.0
3,4_User,0.6683333333333333,48.666666666666664,85.0,15.0,51.333333333333336,0.3316666666666667,0.5133333333333333,0.15,0.0,0.48666666666666664,0.4866666666666667,0.85,0.594704684317719,18.0,30.0
4,5_User,0.75,75.0,75.0,25.0,25.0,0.25,0.25,0.25,0.0,0.75,0.75,0.75,0.75,18.0,30.0
5,6_User,0.965,99.33333333333333,93.66666666666667,6.333333333333333,0.6666666666666666,0.035,0.006666666666666666,0.06333333333333332,0.0,0.9933333333333333,0.9933333333333333,0.9366666666666668,0.965964343598055,18.0,30.0
6,7_User,0.7233333333333334,80.0,64.66666666666667,35.333333333333336,20.0,0.27666666666666667,0.2,0.35333333333333333,0.0,0.8,0.8,0.6466666666666667,0.7430340557275541,18.0,30.0
7,8_User,0.8016666666666665,89.33333333333333,71.0,29.0,10.666666666666666,0.19833333333333333,0.10666666666666666,0.29,0.0,0.8933333333333333,0.8933333333333333,0.71,0.8183206106870229,18.0,30.0
8,9_User,0.8166666666666665,93.0,70.33333333333333,29.666666666666668,7.0,0.18333333333333335,0.07,0.2966666666666667,0.0,0.93,0.9299999999999999,0.7033333333333333,0.8353293413173654,18.0,30.0
9,10_User,0.7583333333333333,62.666666666666664,89.0,11.0,37.333333333333336,0.24166666666666667,0.37333333333333335,0.11,0.0,0.6266666666666666,0.6266666666666667,0.89,0.7216890595009597,18.0,30.0
10,11_User,0.8733333333333333,96.33333333333333,78.33333333333333,21.666666666666668,3.6666666666666665,0.12666666666666668,0.03666666666666667,0.21666666666666667,0.0,0.9633333333333333,0.9633333333333334,0.7833333333333333,0.8837920489296637,18.0,30.0
11,12_User,0.82,81.33333333333333,82.66666666666667,17.333333333333332,18.666666666666668,0.18,0.18666666666666668,0.1733333333333333,0.0,0.8133333333333332,0.8133333333333334,0.8266666666666667,0.8187919463087249,18.0,30.0
