,Testers,Accuracy,TP,TN,FP,FN,ERR,FRR,FAR,EER,Sensitivity(TPR),TAR,Specificity(TNR),F-score,k values,Iterations
0,1_User,0.5283333333333333,40.666666666666664,65.0,35.0,59.333333333333336,0.47166666666666673,0.5933333333333334,0.35,0.0,0.4066666666666666,0.4066666666666666,0.65,0.4629981024667932,18.0,30.0
1,2_User,0.925,97.33333333333333,87.66666666666667,12.333333333333334,2.6666666666666665,0.075,0.026666666666666665,0.12333333333333334,0.0,0.9733333333333333,0.9733333333333334,0.8766666666666667,0.9284578696343402,18.0,30.0
2,3_User,0.7783333333333334,84.66666666666667,71.0,29.0,15.333333333333334,0.22166666666666668,0.15333333333333335,0.29,0.0,0.8466666666666667,0.8466666666666667,0.71,0.7925117004680187,18.0,30.0
3,4_User,0.77,77.33333333333333,76.66666666666667,23.333333333333332,22.666666666666668,0.23,0.22666666666666668,0.2333333333333333,0.0,0.7733333333333333,0.7733333333333333,0.7666666666666667,0.7707641196013288,18.0,30.0
4,5_User,0.7716666666666666,86.0,68.33333333333333,31.666666666666668,14.0,0.22833333333333336,0.14,0.31666666666666665,0.0,0.86,0.86,0.6833333333333332,0.7901990811638592,18.0,30.0
5,6_User,0.9016666666666666,88.0,92.33333333333333,7.666666666666667,12.0,0.09833333333333334,0.12,0.07666666666666667,0.0,0.88,0.88,0.9233333333333333,0.899488926746167,18.0,30.0
6,7_User,0.45833333333333337,16.666666666666668,75.0,25.0,83.33333333333333,0.5416666666666666,0.8333333333333333,0.25,0.0,0.16666666666666669,0.16666666666666674,0.75,0.23529411764705885,18.0,30.0
7,8_User,0.7883333333333333,68.33333333333333,89.33333333333333,10.666666666666666,31.666666666666668,0.21166666666666667,0.31666666666666665,0.10666666666666666,0.0,0.6833333333333332,0.6833333333333333,0.8933333333333333,0.7635009310986965,18.0,30.0
8,9_User,0.8633333333333334,95.0,77.66666666666667,22.333333333333332,5.0,0.13666666666666666,0.05,0.22333333333333333,0.0,0.95,0.95,0.7766666666666667,0.8742331288343558,18.0,30.0
9,10_User,0.8283333333333335,80.66666666666667,85.0,15.0,19.333333333333332,0.17166666666666663,0.19333333333333333,0.15,0.0,0.8066666666666668,0.8066666666666666,0.85,0.8245315161839863,18.0,30.0
10,11_User,0.8066666666666665,70.33333333333333,91.0,9.0,29.666666666666668,0.19333333333333336,0.2966666666666667,0.09,0.0,0.7033333333333333,0.7033333333333334,0.91,0.7843866171003718,18.0,30.0
11,12_User,0.8433333333333334,82.66666666666667,86.0,14.0,17.333333333333332,0.15666666666666665,0.1733333333333333,0.14,0.0,0.8266666666666667,0.8266666666666667,0.86,0.8406779661016949,18.0,30.0
12,13_User,0.64,51.333333333333336,76.66666666666667,23.333333333333332,48.666666666666664,0.36,0.48666666666666664,0.2333333333333333,0.0,0.5133333333333333,0.5133333333333334,0.7666666666666667,0.5877862595419848,18.0,30.0
13,14_User,0.57,50.333333333333336,63.666666666666664,36.333333333333336,49.666666666666664,0.43,0.49666666666666665,0.36333333333333334,0.0,0.5033333333333334,0.5033333333333334,0.6366666666666666,0.5392857142857144,18.0,30.0
14,15_User,0.7983333333333335,87.0,72.66666666666667,27.333333333333332,13.0,0.20166666666666663,0.13,0.2733333333333333,0.0,0.87,0.87,0.7266666666666667,0.8118195956454121,18.0,30.0
15,17_User,0.5383333333333333,36.0,71.66666666666667,28.333333333333332,64.0,0.46166666666666667,0.64,0.2833333333333333,0.0,0.36,0.36,0.7166666666666667,0.43813387423935096,18.0,30.0
16,18_User,0.585,54.333333333333336,62.666666666666664,37.333333333333336,45.666666666666664,0.415,0.45666666666666667,0.37333333333333335,0.0,0.5433333333333333,0.5433333333333333,0.6266666666666666,0.5669565217391305,18.0,30.0
17,19_User,0.46833333333333327,37.0,56.666666666666664,43.333333333333336,63.0,0.5316666666666667,0.63,0.43333333333333335,0.0,0.37,0.37,0.5666666666666667,0.41035120147874304,18.0,30.0
18,20_User,0.6433333333333334,45.0,83.66666666666667,16.333333333333332,55.0,0.35666666666666663,0.55,0.16333333333333333,0.0,0.45,0.44999999999999996,0.8366666666666667,0.5578512396694215,18.0,30.0
19,21_User,0.8116666666666668,78.66666666666667,83.66666666666667,16.333333333333332,21.333333333333332,0.18833333333333332,0.21333333333333332,0.16333333333333333,0.0,0.7866666666666667,0.7866666666666666,0.8366666666666667,0.8068376068376067,18.0,30.0
20,22_User,0.9466666666666665,95.33333333333333,94.0,6.0,4.666666666666667,0.05333333333333334,0.04666666666666667,0.06,0.0,0.9533333333333333,0.9533333333333334,0.94,0.9470198675496689,18.0,30.0
21,23_User,0.8483333333333334,87.0,82.66666666666667,17.333333333333332,13.0,0.15166666666666667,0.13,0.1733333333333333,0.0,0.87,0.87,0.8266666666666667,0.8515497553017944,18.0,30.0
22,24_User,0.6633333333333334,68.66666666666667,64.0,36.0,31.333333333333332,0.33666666666666667,0.3133333333333333,0.36,0.0,0.6866666666666668,0.6866666666666668,0.64,0.6710097719869706,18.0,30.0
23,25_User,0.3966666666666667,5.666666666666667,73.66666666666667,26.333333333333332,94.33333333333333,0.6033333333333333,0.9433333333333332,0.2633333333333333,0.0,0.05666666666666667,0.056666666666666754,0.7366666666666667,0.08585858585858586,18.0,30.0
24,26_User,0.4816666666666667,6.666666666666667,89.66666666666667,10.333333333333334,93.33333333333333,0.5183333333333333,0.9333333333333332,0.10333333333333333,0.0,0.06666666666666667,0.06666666666666676,0.8966666666666667,0.11396011396011396,18.0,30.0
25,27_User,0.88,94.33333333333333,81.66666666666667,18.333333333333332,5.666666666666667,0.12,0.05666666666666667,0.18333333333333332,0.0,0.9433333333333332,0.9433333333333334,0.8166666666666668,0.8871473354231975,18.0,30.0
26,28_User,0.835,83.66666666666667,83.33333333333333,16.666666666666668,16.333333333333332,0.165,0.16333333333333333,0.16666666666666669,0.0,0.8366666666666667,0.8366666666666667,0.8333333333333333,0.8352745424292846,18.0,30.0
