,Testers,Accuracy,TP,TN,FP,FN,ERR,FRR,FAR,EER,Sensitivity(TPR),TAR,Specificity(TNR),F-score,k values,Iterations
47,18_User,0.46166666666666667,0.0,92.33333333333333,7.666666666666667,100.0,0.5383333333333333,1.0,0.07666666666666667,0.0,0.0,0.0,0.9233333333333333,0.0,25.0,30.0
48,19_User,0.5383333333333333,10.0,97.66666666666667,2.3333333333333335,90.0,0.46166666666666667,0.9,0.023333333333333334,0.0,0.1,0.09999999999999998,0.9766666666666667,0.17804154302670624,25.0,30.0
49,20_User,0.8433333333333334,70.0,98.66666666666667,1.3333333333333333,30.0,0.15666666666666665,0.3,0.013333333333333332,0.0,0.7,0.7,0.9866666666666667,0.8171206225680934,25.0,30.0
50,21_User,0.8233333333333335,70.0,94.66666666666667,5.333333333333333,30.0,0.17666666666666667,0.3,0.05333333333333333,0.0,0.7,0.7,0.9466666666666668,0.7984790874524714,25.0,30.0
51,22_User,0.5783333333333334,20.0,95.66666666666667,4.333333333333333,80.0,0.42166666666666663,0.8,0.04333333333333333,0.0,0.2,0.19999999999999996,0.9566666666666667,0.32171581769436997,25.0,30.0
52,23_User,0.9666666666666666,100.0,93.33333333333333,6.666666666666667,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,1.0,1.0,0.9333333333333332,0.967741935483871,25.0,30.0
53,24_User,0.49833333333333335,0.0,99.66666666666667,0.3333333333333333,100.0,0.5016666666666666,1.0,0.003333333333333333,0.0,0.0,0.0,0.9966666666666667,0.0,25.0,30.0
54,25_User,0.9366666666666665,90.0,97.33333333333333,2.6666666666666665,10.0,0.06333333333333332,0.1,0.026666666666666665,0.0,0.9,0.9,0.9733333333333333,0.9342560553633218,25.0,30.0
55,26_User,0.9683333333333334,100.0,93.66666666666667,6.333333333333333,0.0,0.03166666666666666,0.0,0.06333333333333332,0.0,1.0,1.0,0.9366666666666668,0.9693053311793215,25.0,30.0
56,27_User,0.5,0.0,100.0,0.0,100.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,30.0
57,28_User,0.54,10.0,98.0,2.0,90.0,0.46,0.9,0.02,0.0,0.1,0.09999999999999998,0.98,0.17857142857142858,25.0,30.0
58,29_User,0.5,0.0,100.0,0.0,100.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,30.0
59,30_User,0.6966666666666665,40.0,99.33333333333333,0.6666666666666666,60.0,0.30333333333333334,0.6,0.006666666666666666,0.0,0.4,0.4,0.9933333333333333,0.5687203791469193,25.0,30.0
