Testers,Media,A1_fix_No,A2_fix_No,A3_fix_No,A4_fix_No,A5_fix_No,A6_fix_No,total_noFixation,Scan_path,Saccade_scanPath,lpd_sum,lpd_min,lpd_max,lpd_mean,lpd_mad,lpd_median,lpd_skew,lpd_var,lpd_std,lpd_hmean,lpd_gmean,lpd_range,lpd_iqr,lpd_first_quar,lpd_thrid_quar,lpd_kurtosis,rpd_sum,rpd_min,rpd_max,rpd_mean,rpd_mad,rpd_median,rpd_skew,rpd_var,rpd_std,rpd_hmean,rpd_gmean,rpd_range,rpd_iqr,rpd_first_quar,rpd_thrid_quar,rpd_kurtosis,fpogDuration_sum,fpogd_min,fpogd_max,fpogd_mean,fpogd_mad,fpogd_median,fpogd_skew,fpogd_var,fpogd_std,fpogd_hmean,fpogd_gmean,fpogd_range,fpogd_iqr,fpogd_first_quar,fpogd_thrid_quar,fpogd_kurtosis,lps_sum,lps_min,lps_max,lps_mean,lps_mad,lps_median,lps_skew,lps_var,lps_std,lps_hmean,lps_gmean,lps_range,lps_iqr,lps_first_quar,lps_thrid_quar,lps_kurtosis,rps_sum,rps_min,rps_max,rps_mean,rps_mad,rps_median,rps_skew,rps_var,rps_std,rps_hmean,rps_gmean,rps_range,rps_iqr,rps_first_quar,rps_thrid_quar,rps_kurtosis
1_User,Media1,3,1,5,2,2,22,35,3.9614364383013685,0.11651283642062847,27666.712869999967,11.525039999999999,17.73599,15.53436994385175,1.1475489431455217,15.67755,-0.8902131963135145,1.317585848412348,1.1478614238715177,15.441753419505176,15.489507774863224,6.210950000000002,1.5170500000000011,14.793579999999999,16.31063,1.7456360877492738,29117.822820000132,8.91619,19.692989999999998,16.34914251544084,1.1637982634603392,16.08301,-1.360321355518758,2.6674684690725066,1.6332386442502842,16.1405795158163,16.25476541756263,10.776799999999998,1.7551799999999993,15.537020000000002,17.2922,6.201101112245767,10.067989999999998,0.0871,0.8444799999999999,0.2876568571428571,0.08922300150966714,0.2406,1.6450899254033544,0.027531060861551014,0.16592486510933502,0.22476616988173267,0.2518313415909477,0.7573799999999999,0.18017500000000009,0.181155,0.36133000000000004,2.411135906372764,36.06506000000002,0.97744,1.07419,1.0304302857142862,0.021364297968665773,1.0346899999999999,-0.232677217541038,0.0004714117456326542,0.021712018460582013,1.0299701268566206,1.0302006612398849,0.09675,0.03099000000000008,1.01208,1.0430700000000002,0.06245419242943884,36.0866,0.98335,1.07281,1.0310457142857141,0.0227431180318758,1.03516,-0.3309937743776949,0.0004594860130612255,0.02143562485819402,1.0305966583422903,1.0308217580007388,0.0894600000000001,0.02723500000000012,1.015835,1.0430700000000002,-0.27111875119312856
2_User,Media1,16,22,6,1,0,1,46,5.344495727910882,0.11876657173135295,24796.28173999999,10.373280000000001,16.10294,13.829493441160064,0.8519032347533192,13.91005,-0.5813971462603383,0.9990542166602714,0.9995269964639631,13.752995968741484,13.79201260247419,5.729659999999999,1.1594599999999993,13.29248,14.451939999999999,0.8245194983070747,24083.46752999994,9.963410000000001,15.4224,13.431939503625175,0.69873559955951,13.536679999999999,-1.1953734477998197,0.8191259518195538,0.9050557727673768,13.364412034571268,13.39938109217135,5.458989999999997,0.9508699999999984,13.047310000000001,13.99818,2.6645219439466747,11.11055,0.12018,0.64935,0.2415336956521739,0.08885976396613321,0.22507,1.7268448669448724,0.010003451588516071,0.10001725645365438,0.21074890378197847,0.2248020082687077,0.52917,0.11524499999999994,0.17392249999999998,0.2891675,4.315162049257396,49.26876999999998,1.02912,1.13416,1.071060217391304,0.025863995701830456,1.07056,0.5606863496982697,0.0006157889325614379,0.024815094852960733,1.0704922119618367,1.0707750662816609,0.10504000000000002,0.03480500000000042,1.0532024999999998,1.0880075000000002,-0.1880023406821767,49.23071,1.02912,1.13416,1.0702328260869565,0.02353631021877639,1.063695,0.5281183904342758,0.0005810567724480164,0.02410511921663148,1.0696959076520975,1.0699633688369703,0.10504000000000002,0.0263525,1.0532225,1.079575,-0.3100264792759999
3_User,Media1,16,11,5,9,0,3,44,7.089876579972228,0.16488085069702854,36200.56592000004,14.56519,24.32547000000001,20.246401521252817,1.5377253689896393,20.949885000000002,-0.8975829218038146,4.949377960373748,2.2247197487265105,19.97091277740687,20.114013559301746,9.760280000000003,2.475159999999999,19.26236,21.73752,-0.056952349746804735,37923.46463999997,14.628,25.33017000000001,21.20999140939596,2.014241135028433,21.93623,-0.9148472347775574,6.724483787379108,2.5931609644175797,20.8455617017104,21.036041523653463,10.702170000000002,2.9015400000000007,20.1601275,23.0616675,0.010052112682096492,10.824460000000002,0.09399,0.66992,0.2460104545454546,0.050037824874564034,0.21454,2.1745078579370616,0.01060508037252066,0.10298097092434436,0.2174829265017368,0.2301589109812609,0.5759299999999999,0.07718000000000003,0.1922275,0.2694075,5.614811445111176,43.67452,0.9295700000000001,1.04554,0.9926027272727272,0.020689713959245667,0.99418,-0.3570168128893469,0.0006144333152892548,0.0247877654355784,0.9919773634216638,0.9922911250065478,0.1159699999999998,0.029464999999999963,0.9777025,1.0071675,0.1155979794358486,43.73353999999999,0.9295700000000001,1.04554,0.9939440909090907,0.022965508364651777,0.99921,-0.29623328071110816,0.0006379078787190077,0.025256838256579296,0.9932966590790188,0.9936213300635894,0.1159699999999998,0.03691750000000005,0.97744,1.0143575,-0.0992670830951563
4_User,Media1,7,10,3,4,6,13,43,6.461101627679232,0.15383575303998173,26650.300649999965,8.15881,18.32627,14.955275336700318,2.5633969967629064,15.077455,-0.2578520633860717,4.123428390559679,2.030622660801282,14.662856665994193,14.811828688797753,10.16746,3.4575475000000004,13.3247925,16.782339999999998,-0.9230497403086786,28486.87613999996,7.94614,19.663120000000006,15.985901313131292,1.912171385295414,16.2745,-0.6715538731554918,4.259825288790308,2.063934419692232,15.684746792554572,15.84154783862302,11.716980000000005,2.6534324999999974,14.818670000000001,17.4721025,-0.009090838792477296,11.17579,0.05994,0.5426,0.2599020930232558,0.08957882604210851,0.26135,0.4727867325895055,0.010247174635154135,0.10122832921249927,0.2143409639784196,0.23862202147073244,0.48266,0.11596999999999995,0.190915,0.30688499999999996,0.20600656160768385,42.756840000000004,0.95339,1.0670600000000001,0.99434511627907,0.021082603547149675,0.99177,0.9825107758698984,0.000688189327312061,0.026233362867006987,0.9936696445118548,0.9940046566721068,0.11367000000000015,0.02843999999999992,0.97755,1.00599,0.8625041206925705,42.773270000000004,0.9521200000000001,1.06742,0.9947272093023256,0.021082603547149675,0.99177,1.2714349255949278,0.0006578697363980534,0.02564897144912547,0.99408603253382,0.9944033267453894,0.11529999999999994,0.022099999999999898,0.97755,0.99965,1.6091548613895332
5_User,Media1,5,6,4,3,5,6,30,4.96061733850013,0.17105577029310795,28449.55877000007,8.885710000000003,20.62109,15.973924070746813,1.905084546690956,15.74598,-0.022068586232110655,4.806388477050173,2.192347708975511,15.65111537869918,15.817584232956813,11.735379999999996,2.6600599999999996,14.54004,17.2001,0.6142071332813623,27780.087450000083,10.51061,19.968970000000002,15.598027765300438,1.822370168920528,14.986139999999999,0.4281906583885802,4.767822072137836,2.1835343075248064,15.301896283576784,15.44843528573944,9.458360000000004,3.0852199999999983,14.18481,17.27003,-0.5948111737051011,10.76711,0.09369,1.75465,0.3589036666666667,0.0692597626374892,0.20540500000000006,2.5073986267422663,0.16929318236988886,0.4114525274802536,0.21325454954825565,0.2554030540575487,1.6609599999999998,0.1054425,0.17412750000000002,0.27957,4.867908262865835,31.649220000000003,0.98505,1.13625,1.054974,0.030178368157681545,1.0561049999999998,0.12753868193115034,0.0011362784039999998,0.03370872889920354,1.0538994389576375,1.0544363204410654,0.1512,0.04340249999999979,1.0323825,1.0757849999999998,-0.2607867140130655,31.61105000000001,0.9923200000000001,1.13625,1.0537016666666668,0.023981090884328017,1.053195,0.2648783797598,0.001045026060555555,0.0323268628319476,1.0527161979073885,1.0532079116367838,0.1439299999999999,0.031582499999999625,1.0362025,1.0677849999999998,-0.05469229185208136
6_User,Media1,12,23,3,3,6,3,50,7.435508508090249,0.15174507159367856,19999.503509999948,6.44549,12.91356,11.172906988826787,0.6967563255977998,11.293325,-2.3653088755284544,0.8590266445229471,0.9268369028706976,11.070410906578438,11.126990870115847,6.46807,0.9589925000000008,10.7811125,11.740105,9.847291606115881,19694.656670000048,7.04715,13.269429999999998,11.002601491620142,0.8537935525819134,11.247475,-1.0140260662419396,1.3743273768255362,1.172317097386853,10.858766794100204,10.934146728554122,6.222279999999998,1.1873400000000007,10.5715425,11.7588825,0.8665692221257619,10.73512,0.05371,0.56934,0.2147024,0.10026097502644134,0.19739,1.302652558309986,0.010215926990239998,0.10107386897828737,0.17389952820376892,0.1936332289830419,0.5156299999999999,0.1200525,0.14917249999999999,0.269225,2.2232930942179925,51.60864999999999,0.94424,1.09394,1.0321729999999998,0.02713162059865249,1.031825,-0.5475015508523238,0.0008907706170000002,0.029845780556051808,1.0312943343230756,1.0317363558329602,0.14969999999999994,0.03588250000000004,1.0169675,1.05285,0.6303797793424182,51.61481999999999,0.9502799999999999,1.1022100000000001,1.0322963999999997,0.02590106075729268,1.03621,-0.4142314303750977,0.0009035295750400003,0.030058768688021813,1.0314088133086488,1.031854716311308,0.15193000000000026,0.037975000000000085,1.0154975,1.0534725,0.2972187576719563
7_User,Media1,5,13,5,4,3,14,45,6.6581191371262936,0.15132088948014302,31474.997679999986,10.52041,21.07519,17.63305192156862,1.4432391296042777,18.04992,-1.4823153376447438,3.6805668353174883,1.9184803453039303,17.373079985340972,17.51300575678411,10.55478,2.0784100000000016,16.87099,18.9494,2.7103176790877432,32081.589300000083,8.33708,22.9155,17.97287915966391,2.0136999852186723,18.16004,-1.5402400005006174,6.730638560398054,2.5943474247675566,17.43594805835081,17.739037870729813,14.578420000000001,2.598640000000003,17.17243,19.77107,3.413518317952541,10.097060000000004,0.11389,0.44226000000000004,0.2243791111111112,0.060445692448473476,0.21386999999999998,0.8942081369609065,0.0057731045014320975,0.07598094827936867,0.20173818850688344,0.2125675480020256,0.32837000000000005,0.08045000000000002,0.17419,0.25464000000000003,0.44392579778528907,46.93450999999998,0.96472,1.10046,1.0429891111111107,0.03638305844212748,1.0439399999999999,-0.3869008073753293,0.0010953874658765428,0.033096638286637864,1.041924260026348,1.042459131691157,0.13573999999999994,0.046359999999999735,1.0221200000000001,1.0684799999999999,-0.432082525116523,47.004739999999984,0.97044,1.1114700000000002,1.0445497777777777,0.03638305844212748,1.0439399999999999,-0.20217123829024955,0.0011595257843950615,0.03405181029541692,1.0434305287795458,1.0439916901217854,0.1410300000000002,0.046359999999999735,1.0221200000000001,1.0684799999999999,-0.4556903731817883
8_User,Media1,5,6,9,0,3,14,37,7.475098158697097,0.20764161551936386,36031.539799999846,7.6063800000000015,23.75103,20.23107231892187,1.5969553276189343,20.83355,-2.69923856077132,6.363264184106527,2.522551126163061,19.65826998712016,20.006665093001978,16.14465,2.3916099999999965,19.31117,21.702779999999997,10.411818879566999,35273.232509999936,15.17668,23.321360000000002,19.805296187535056,1.5172506323520778,20.165,-0.7266176447850877,2.7306370861641907,1.6524639439831026,19.656966937041464,19.732926304367087,8.144680000000003,2.08361,18.90239,20.986,-0.09242007388672224,10.566110000000002,0.11383,0.65723,0.2855705405405406,0.11845991725859754,0.27410999999999996,1.0875676062263573,0.014089568967275385,0.11869949017276946,0.2438880737319876,0.2635980676167593,0.5434,0.12078999999999998,0.19391,0.3147,1.0620898036783777,34.28617000000001,0.8734200000000001,0.96716,0.9266532432432434,0.02501149942618958,0.9247799999999999,-0.4698489941556153,0.00036305444894083256,0.01905398774379874,0.9262572922889302,0.9264559717824096,0.09373999999999992,0.028220000000000026,0.91343,0.94165,0.1949747327195137,34.27445,0.8787200000000001,0.9736600000000001,0.9263364864864864,0.019288654862757836,0.92369,-0.09628720220389976,0.0003970314173849526,0.019925647226249708,0.9259066042044922,0.9261217661657406,0.09494000000000002,0.023809999999999998,0.91784,0.94165,-0.04000008921927112
9_User,Media1,4,7,0,1,5,15,32,4.036760004217824,0.13021806465218788,25856.03570000001,11.37492,18.47805,14.468962339115839,1.726890586048771,13.83191,0.6123044146554756,3.6764833765973193,1.917415806912345,14.231403333682476,14.347250248302105,7.10313,3.303675,12.96176,16.265435,-0.9674015354461069,29802.77647999995,9.56617,21.33383,16.6775469949636,2.3946397992415127,16.139470000000006,0.04060884110850624,5.09812564037278,2.2579029297941,16.361609216792246,16.521754099162838,11.76766,3.752225000000001,15.11474,18.866965,-0.4026288711401391,11.382630000000002,0.10718,1.70123,0.3557071875000001,0.09940847875080057,0.264525,3.008823311569397,0.12579433287021488,0.3546749679216379,0.2437479935018511,0.2794682039368268,1.59405,0.12889499999999998,0.2010175,0.3299125,8.052693511967309,32.06899,0.94557,1.08665,1.0021559375,0.027524510186556408,1.007525,0.405158325599419,0.0007732762803710929,0.02780784566217047,1.0013913192633055,1.001772525731552,0.14107999999999987,0.037319999999999916,0.9814200000000001,1.01874,0.969526032553902,32.069990000000004,0.95219,1.08665,1.0021871875,0.02415900315054887,1.005065,0.4244280473234016,0.0008444786952148428,0.029059915609217495,1.0013532777543594,1.0017688243251022,0.1344599999999999,0.037319999999999916,0.9814200000000001,1.01874,0.4454054686896538
10_User,Media1,31,13,0,0,4,2,50,6.268282847587388,0.12792413974668138,35660.08282999988,7.53317,23.50207,20.00004645541216,1.9242249413318602,21.42001,-1.662483098601458,13.26831139765864,3.6425693401304855,18.9410627998332,19.554739587560338,15.9689,3.396440000000002,19.11655,22.51299,2.18047844169541,34471.14192999993,7.9848300000000005,23.020979999999998,19.333225984296085,1.8180854485090483,20.81495,-1.6118649698317502,12.735909339048678,3.568740581640627,18.30399397445263,18.89549892699304,15.036149999999996,3.532900000000001,18.3156,21.8485,1.8710049696674755,9.330810000000001,0.04004,0.41602,0.18661620000000004,0.07365567821535829,0.17748999999999998,0.7324969020568783,0.005698029835560001,0.07548529549230101,0.15352805520295346,0.17096060626179516,0.37598,0.09673750000000003,0.12933250000000002,0.22607,0.7115164147101758,47.7746,0.89389,1.05053,0.955492,0.03153494918761433,0.9554299999999999,0.4610232113710848,0.0010561265,0.03249809994445828,0.9544016065442286,0.9549443535996004,0.15664,0.040939999999999976,0.93591,0.97685,-0.01996656303310252,47.80187,0.8879,1.05053,0.9560374,0.04103101639714255,0.955425,0.2475680224692685,0.00116213473124,0.034090097260641536,0.9548299303075936,0.9554323382027954,0.16262999999999994,0.05572250000000012,0.932145,0.9878674999999999,-0.2408784466102585
