,Testers,Accuracy,TP,TN,FP,FN,ERR,FRR,FAR,EER,Sensitivity(TPR),TAR,Specificity(TNR),F-score,k values,Iterations
16,18_User,0.3466666666666666,3.0,66.33333333333333,33.666666666666664,97.0,0.6533333333333333,0.97,0.33666666666666667,0.0,0.03,0.030000000000000027,0.6633333333333333,0.04390243902439025,18.0,30.0
17,19_User,0.5366666666666667,51.333333333333336,56.0,44.0,48.666666666666664,0.46333333333333326,0.48666666666666664,0.44,0.0,0.5133333333333333,0.5133333333333334,0.56,0.5255972696245734,18.0,30.0
18,20_User,0.635,47.666666666666664,79.33333333333333,20.666666666666668,52.333333333333336,0.365,0.5233333333333333,0.20666666666666667,0.0,0.4766666666666666,0.4766666666666667,0.7933333333333333,0.5663366336633663,18.0,30.0
19,21_User,0.78,81.0,75.0,25.0,19.0,0.22,0.19,0.25,0.0,0.81,0.81,0.75,0.7864077669902912,18.0,30.0
20,22_User,0.9383333333333335,92.0,95.66666666666667,4.333333333333333,8.0,0.06166666666666666,0.08,0.04333333333333333,0.0,0.92,0.92,0.9566666666666667,0.9371816638370118,18.0,30.0
21,23_User,0.8733333333333334,96.66666666666667,78.0,22.0,3.3333333333333335,0.12666666666666665,0.03333333333333333,0.22,0.0,0.9666666666666667,0.9666666666666667,0.78,0.8841463414634146,18.0,30.0
22,24_User,0.61,51.0,71.0,29.0,49.0,0.39,0.49,0.29,0.0,0.51,0.51,0.71,0.5666666666666667,18.0,30.0
23,25_User,0.7916666666666665,87.33333333333333,71.0,29.0,12.666666666666666,0.20833333333333331,0.12666666666666665,0.29,0.0,0.8733333333333333,0.8733333333333333,0.71,0.8073959938366718,18.0,30.0
24,26_User,0.8616666666666666,95.0,77.33333333333333,22.666666666666668,5.0,0.13833333333333334,0.05,0.22666666666666668,0.0,0.95,0.95,0.7733333333333333,0.8728943338437979,18.0,30.0
25,27_User,0.66,37.666666666666664,94.33333333333333,5.666666666666667,62.333333333333336,0.34,0.6233333333333334,0.05666666666666667,0.0,0.37666666666666665,0.3766666666666666,0.9433333333333332,0.5255813953488372,18.0,30.0
26,28_User,0.805,89.0,72.0,28.0,11.0,0.195,0.11,0.28,0.0,0.89,0.89,0.72,0.8202764976958525,18.0,30.0
27,29_User,0.5433333333333333,40.333333333333336,68.33333333333333,31.666666666666668,59.666666666666664,0.45666666666666667,0.5966666666666667,0.31666666666666665,0.0,0.4033333333333334,0.4033333333333333,0.6833333333333332,0.4689922480620155,18.0,30.0
28,30_User,0.645,47.333333333333336,81.66666666666667,18.333333333333332,52.666666666666664,0.355,0.5266666666666666,0.18333333333333332,0.0,0.4733333333333334,0.4733333333333334,0.8166666666666668,0.5714285714285715,18.0,30.0
29,31_User,0.59,26.666666666666668,91.33333333333333,8.666666666666666,73.33333333333333,0.41,0.7333333333333333,0.08666666666666666,0.0,0.26666666666666666,0.2666666666666667,0.9133333333333333,0.394088669950739,18.0,30.0
30,32_User,0.495,5.666666666666667,93.33333333333333,6.666666666666667,94.33333333333333,0.505,0.9433333333333332,0.06666666666666667,0.0,0.05666666666666667,0.056666666666666754,0.9333333333333332,0.10089020771513355,18.0,30.0
31,1_User,0.6716666666666667,74.66666666666667,59.666666666666664,40.333333333333336,25.333333333333332,0.32833333333333337,0.2533333333333333,0.4033333333333334,0.0,0.7466666666666667,0.7466666666666667,0.5966666666666667,0.6945736434108527,25.0,30.0
32,2_User,0.6183333333333333,32.666666666666664,91.0,9.0,67.33333333333333,0.38166666666666665,0.6733333333333333,0.09,0.0,0.32666666666666666,0.32666666666666666,0.91,0.4611764705882353,25.0,30.0
33,3_User,0.6166666666666667,39.666666666666664,83.66666666666667,16.333333333333332,60.333333333333336,0.38333333333333336,0.6033333333333334,0.16333333333333333,0.0,0.39666666666666667,0.3966666666666666,0.8366666666666667,0.5085470085470085,25.0,30.0
34,4_User,0.82,94.0,70.0,30.0,6.0,0.18,0.06,0.3,0.0,0.94,0.94,0.7,0.8392857142857143,25.0,30.0
35,5_User,0.655,46.0,85.0,15.0,54.0,0.345,0.54,0.15,0.0,0.46,0.45999999999999996,0.85,0.5714285714285714,25.0,30.0
36,6_User,0.9783333333333334,100.0,95.66666666666667,4.333333333333333,0.0,0.021666666666666664,0.0,0.04333333333333333,0.0,1.0,1.0,0.9566666666666667,0.9787928221859706,25.0,30.0
37,7_User,0.6666666666666667,64.66666666666667,68.66666666666667,31.333333333333332,35.333333333333336,0.33333333333333337,0.35333333333333333,0.3133333333333333,0.0,0.6466666666666667,0.6466666666666667,0.6866666666666668,0.6598639455782312,25.0,30.0
38,8_User,0.8966666666666667,97.66666666666667,81.66666666666667,18.333333333333332,2.3333333333333335,0.10333333333333332,0.023333333333333334,0.18333333333333332,0.0,0.9766666666666667,0.9766666666666667,0.8166666666666668,0.9043209876543209,25.0,30.0
39,9_User,0.8083333333333332,76.33333333333333,85.33333333333333,14.666666666666666,23.666666666666668,0.19166666666666668,0.2366666666666667,0.14666666666666667,0.0,0.7633333333333333,0.7633333333333333,0.8533333333333333,0.7993019197207679,25.0,30.0
40,10_User,0.7083333333333333,54.666666666666664,87.0,13.0,45.333333333333336,0.2916666666666667,0.45333333333333337,0.13,0.0,0.5466666666666666,0.5466666666666666,0.87,0.6520874751491054,25.0,30.0
41,11_User,0.8533333333333333,94.33333333333333,76.33333333333333,23.666666666666668,5.666666666666667,0.14666666666666667,0.05666666666666667,0.2366666666666667,0.0,0.9433333333333332,0.9433333333333334,0.7633333333333333,0.8654434250764527,25.0,30.0
42,12_User,0.87,90.66666666666667,83.33333333333333,16.666666666666668,9.333333333333334,0.13,0.09333333333333334,0.16666666666666669,0.0,0.9066666666666667,0.9066666666666666,0.8333333333333333,0.8745980707395499,25.0,30.0
43,13_User,0.795,85.0,74.0,26.0,15.0,0.205,0.15,0.26,0.0,0.85,0.85,0.74,0.8056872037914692,25.0,30.0
44,14_User,0.55,37.0,73.0,27.0,63.0,0.45,0.63,0.27,0.0,0.37,0.37,0.73,0.45121951219512196,25.0,30.0
45,15_User,0.7183333333333333,69.33333333333333,74.33333333333333,25.666666666666668,30.666666666666668,0.2816666666666667,0.3066666666666667,0.25666666666666665,0.0,0.6933333333333332,0.6933333333333334,0.7433333333333333,0.7111111111111111,25.0,30.0
46,17_User,0.7383333333333334,74.66666666666667,73.0,27.0,25.333333333333332,0.26166666666666666,0.2533333333333333,0.27,0.0,0.7466666666666667,0.7466666666666667,0.73,0.740495867768595,25.0,30.0
47,18_User,0.405,10.0,71.0,29.0,90.0,0.595,0.9,0.29,0.0,0.1,0.09999999999999998,0.71,0.14388489208633093,25.0,30.0
48,19_User,0.58,58.0,58.0,42.0,42.0,0.42,0.42,0.42,0.0,0.58,0.5800000000000001,0.58,0.58,25.0,30.0
49,20_User,0.6666666666666665,55.0,78.33333333333333,21.666666666666668,45.0,0.33333333333333337,0.45,0.21666666666666667,0.0,0.55,0.55,0.7833333333333333,0.6226415094339623,25.0,30.0
50,21_User,0.8116666666666665,80.33333333333333,82.0,18.0,19.666666666666668,0.18833333333333335,0.19666666666666668,0.18,0.0,0.8033333333333332,0.8033333333333333,0.82,0.8100840336134454,25.0,30.0
51,22_User,0.9466666666666665,96.33333333333333,93.0,7.0,3.6666666666666665,0.05333333333333333,0.03666666666666667,0.07,0.0,0.9633333333333333,0.9633333333333334,0.93,0.9475409836065575,25.0,30.0
52,23_User,0.9033333333333333,97.33333333333333,83.33333333333333,16.666666666666668,2.6666666666666665,0.09666666666666668,0.026666666666666665,0.16666666666666669,0.0,0.9733333333333333,0.9733333333333334,0.8333333333333333,0.9096573208722742,25.0,30.0
53,24_User,0.67,60.0,74.0,26.0,40.0,0.33,0.4,0.26,0.0,0.6,0.6,0.74,0.6451612903225806,25.0,30.0
54,25_User,0.79,83.66666666666667,74.33333333333333,25.666666666666668,16.333333333333332,0.21,0.16333333333333333,0.25666666666666665,0.0,0.8366666666666667,0.8366666666666667,0.7433333333333333,0.7993630573248408,25.0,30.0
55,26_User,0.8616666666666666,96.0,76.33333333333333,23.666666666666668,4.0,0.13833333333333334,0.04,0.2366666666666667,0.0,0.96,0.96,0.7633333333333333,0.874051593323217,25.0,30.0
56,27_User,0.6916666666666665,46.0,92.33333333333333,7.666666666666667,54.0,0.30833333333333335,0.54,0.07666666666666667,0.0,0.46,0.45999999999999996,0.9233333333333333,0.598698481561822,25.0,30.0
57,28_User,0.835,81.0,86.0,14.0,19.0,0.165,0.19,0.14,0.0,0.81,0.81,0.86,0.8307692307692308,25.0,30.0
58,29_User,0.4683333333333334,25.666666666666668,68.0,32.0,74.33333333333333,0.5316666666666666,0.7433333333333333,0.32,0.0,0.25666666666666665,0.2566666666666667,0.68,0.3255813953488372,25.0,30.0
59,30_User,0.6616666666666667,48.333333333333336,84.0,16.0,51.666666666666664,0.33833333333333326,0.5166666666666666,0.16,0.0,0.48333333333333334,0.4833333333333334,0.84,0.5882352941176471,25.0,30.0
60,31_User,0.5666666666666667,23.333333333333332,90.0,10.0,76.66666666666667,0.43333333333333335,0.7666666666666667,0.1,0.0,0.2333333333333333,0.23333333333333328,0.9,0.35,25.0,30.0
